"group","id","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed","volume_boot_mean","volume_lwr","volume_upr"
"food","5285","Potential",938,3,"rsp_food",TRUE,4.80555492719974,1.79816370921848,1.39961205955283,2.13365602331107
"food","5285","Realized",183,3,"rsp_food",TRUE,2.80475331768008,0.365074780228454,0.250350120456902,0.594417244305484
"food","5301","Potential",5822,3,"rsp_food",TRUE,11.0314317687177,6.99702763849567,6.5588087989916,7.5661466234051
"food","5301","Realized",1119,3,"rsp_food",TRUE,9.01375707935718,11.6955800635716,10.5017357882033,12.9731743214742
"food","5303","Potential",1535,3,"rsp_food",TRUE,15.2723790569933,103.028496238759,93.3465983034866,111.327368960004
"food","5303","Realized",365,3,"rsp_food",TRUE,11.7404681180297,92.845315688593,67.6779827179533,118.990653598922
"food","5308","Potential",157,3,"rsp_food",TRUE,3.58635681883712,1.02583940096531,0.361602576327985,1.56536942611979
"food","5308","Realized",29,3,"rsp_food",TRUE,2.11270938679843,0.954162077730007,0.0402645317698834,2.60279986622215
"food","5439","Potential",747,3,"rsp_food",TRUE,4.28244089763931,1.20390433088081,0.828435113373287,1.72635502098845
"food","5439","Realized",198,3,"rsp_food",TRUE,5.22679917673417,3.91006429376202,2.19285451529836,5.88893821353108
"humans","5181","Potential",188,6,"rsp_humans",TRUE,0.143631858341292,NA,NA,NA
"humans","5181","Realized",49,6,"rsp_humans",TRUE,0.0974519916097476,NA,NA,NA
"humans","5264","Potential",1476,6,"rsp_humans",TRUE,0.357634997377282,NA,NA,NA
"humans","5264","Realized",289,6,"rsp_humans",TRUE,0.221037455661049,NA,NA,NA
"humans","5268","Potential",348,6,"rsp_humans",TRUE,0.171559013904184,NA,NA,NA
"humans","5268","Realized",119,6,"rsp_humans",TRUE,0.132541048228813,NA,NA,NA
"humans","5270","Potential",182,6,"rsp_humans",TRUE,0.0995272868486224,NA,NA,NA
"humans","5270","Realized",51,6,"rsp_humans",TRUE,0.101346172073436,NA,NA,NA
"humans","5277","Potential",108,6,"rsp_humans",TRUE,0.159473242887373,NA,NA,NA
"humans","5277","Realized",44,6,"rsp_humans",TRUE,0.125941946229418,NA,NA,NA
"humans","5278","Potential",419,6,"rsp_humans",TRUE,0.122440172923476,NA,NA,NA
"humans","5278","Realized",100,6,"rsp_humans",TRUE,0.135114279035771,NA,NA,NA
"humans","5282","Potential",145,6,"rsp_humans",TRUE,0.121788954341001,NA,NA,NA
"humans","5282","Realized",38,6,"rsp_humans",TRUE,0.0834708353245991,NA,NA,NA
"humans","5284","Potential",34,6,"rsp_humans",TRUE,0.0859299867213732,NA,NA,NA
"humans","5284","Realized",18,6,"rsp_humans",TRUE,NA,NA,NA,NA
"humans","5285","Potential",938,6,"rsp_humans",TRUE,0.113907681605458,NA,NA,NA
"humans","5285","Realized",183,6,"rsp_humans",TRUE,0.081886304968296,NA,NA,NA
"humans","5301","Potential",5822,6,"rsp_humans",TRUE,0.213632788818168,NA,NA,NA
"humans","5301","Realized",1119,6,"rsp_humans",TRUE,0.170355594801505,NA,NA,NA
"humans","5303","Potential",1535,6,"rsp_humans",TRUE,0.26231579273633,NA,NA,NA
"humans","5303","Realized",365,6,"rsp_humans",TRUE,0.216654415238047,NA,NA,NA
"humans","5308","Potential",157,6,"rsp_humans",TRUE,0.0737304761571393,NA,NA,NA
"humans","5308","Realized",29,6,"rsp_humans",TRUE,NA,NA,NA,NA
"humans","5439","Potential",747,6,"rsp_humans",TRUE,0.0832420953025074,NA,NA,NA
"humans","5439","Realized",198,6,"rsp_humans",TRUE,0.120759157422491,NA,NA,NA
"veg","5181","Potential",188,13,"rsp_veg",TRUE,1.55685979036414e-07,NA,NA,NA
"veg","5181","Realized",49,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5264","Potential",1476,13,"rsp_veg",TRUE,2.43999807501958e-07,NA,NA,NA
"veg","5264","Realized",289,13,"rsp_veg",TRUE,2.12538093787092e-07,NA,NA,NA
"veg","5268","Potential",348,13,"rsp_veg",TRUE,3.69213969207701e-07,NA,NA,NA
"veg","5268","Realized",119,13,"rsp_veg",TRUE,2.79358622277489e-07,NA,NA,NA
"veg","5270","Potential",182,13,"rsp_veg",TRUE,3.8863518906866e-07,NA,NA,NA
"veg","5270","Realized",51,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5277","Potential",108,13,"rsp_veg",TRUE,1.65949294584856e-07,NA,NA,NA
"veg","5277","Realized",44,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5278","Potential",419,13,"rsp_veg",TRUE,1.46988122766646e-07,NA,NA,NA
"veg","5278","Realized",100,13,"rsp_veg",TRUE,1.06639734908234e-07,NA,NA,NA
"veg","5282","Potential",145,13,"rsp_veg",TRUE,1.64659749540601e-07,NA,NA,NA
"veg","5282","Realized",38,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5284","Potential",34,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5284","Realized",18,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5285","Potential",938,13,"rsp_veg",TRUE,2.49739960982239e-07,NA,NA,NA
"veg","5285","Realized",183,13,"rsp_veg",TRUE,1.75164065855318e-07,NA,NA,NA
"veg","5301","Potential",5822,13,"rsp_veg",TRUE,4.69449672797797e-07,NA,NA,NA
"veg","5301","Realized",1119,13,"rsp_veg",TRUE,3.65042184274933e-07,NA,NA,NA
"veg","5303","Potential",1535,13,"rsp_veg",TRUE,4.22721349511711e-07,NA,NA,NA
"veg","5303","Realized",365,13,"rsp_veg",TRUE,4.03929178644005e-07,NA,NA,NA
"veg","5308","Potential",157,13,"rsp_veg",TRUE,1.23870893601926e-07,NA,NA,NA
"veg","5308","Realized",29,13,"rsp_veg",TRUE,NA,NA,NA,NA
"veg","5439","Potential",747,13,"rsp_veg",TRUE,1.38717339763439e-07,NA,NA,NA
"veg","5439","Realized",198,13,"rsp_veg",TRUE,2.32556399323843e-07,NA,NA,NA
"weather","5181","Potential",188,5,"rsp_weather",TRUE,53.5072033578396,57.2678082567421,40.4933195068578,74.412101671996
"weather","5181","Realized",49,5,"rsp_weather",TRUE,69.681477685367,310.862974267511,154.483361467748,476.1703241567
"weather","5264","Potential",1476,5,"rsp_weather",TRUE,218.844277581295,450.060288671964,357.965347907327,544.81078544843
"weather","5264","Realized",289,5,"rsp_weather",TRUE,211.208007013097,634.347364921334,369.087374659605,940.295629436491
"weather","5268","Potential",348,5,"rsp_weather",TRUE,133.730822224839,531.326265850169,431.880717139777,636.396047071646
"weather","5268","Realized",119,5,"rsp_weather",TRUE,155.847477498202,476.521481477021,306.493025818829,697.605919844089
"weather","5270","Potential",182,5,"rsp_weather",TRUE,54.9000823035794,212.206559414869,146.633512906527,263.081335161033
"weather","5270","Realized",51,5,"rsp_weather",TRUE,72.8739906319617,1129.40701739426,514.997829941705,1668.14587979987
"weather","5277","Potential",108,5,"rsp_weather",TRUE,45.1449616002664,35.2252818686588,16.0307784225971,64.493889940978
"weather","5277","Realized",44,5,"rsp_weather",TRUE,67.1276064946309,79.1047729229062,31.8237429986795,189.109198293717
"weather","5278","Potential",419,5,"rsp_weather",TRUE,125.431712300177,191.224360405638,148.294267841064,233.982261792842
"weather","5278","Realized",100,5,"rsp_weather",TRUE,119.799972848599,374.2149466977,236.520264579415,554.050110977927
"weather","5282","Potential",145,5,"rsp_weather",TRUE,47.6147762618781,50.5924060019941,30.0103811097412,70.3313096462828
"weather","5282","Realized",38,5,"rsp_weather",TRUE,61.5470730535132,91.1571414266782,59.5706575586492,137.303715678141
"weather","5284","Potential",34,5,"rsp_weather",TRUE,23.6814410640802,153.480502133532,91.0194713778776,195.712612396022
"weather","5284","Realized",18,5,"rsp_weather",TRUE,NA,NA,NA,NA
"weather","5285","Potential",938,5,"rsp_weather",TRUE,135.528592992081,180.799541028041,143.168132995086,212.315797332267
"weather","5285","Realized",183,5,"rsp_weather",TRUE,128.397515344321,323.060645538584,141.825594281205,523.733237453289
"weather","5301","Potential",5822,5,"rsp_weather",TRUE,377.407829541703,423.152991479799,389.605326726341,454.324144160488
"weather","5301","Realized",1119,5,"rsp_weather",TRUE,355.740275657193,611.478118045571,519.484945801882,692.346120401321
"weather","5303","Potential",1535,5,"rsp_weather",TRUE,211.494258324017,366.735944009324,308.299008962535,428.283765564855
"weather","5303","Realized",365,5,"rsp_weather",TRUE,294.481129963361,1318.44535381855,975.344157342398,1651.34690929646
"weather","5308","Potential",157,5,"rsp_weather",TRUE,26.2723880902409,1.47173032405535,0.778028156533862,2.16295454981416
"weather","5308","Realized",29,5,"rsp_weather",TRUE,24.9800105920737,5.57092531052939,1.12562395447628,12.1319239112676
"weather","5439","Potential",747,5,"rsp_weather",TRUE,185.855411762566,554.22945934186,478.950616319015,604.068006593823
"weather","5439","Realized",198,5,"rsp_weather",TRUE,192.618135840496,770.531471713537,633.974252723879,975.587189841711
"soil","5181","Potential",188,7,"rsp_soil",TRUE,244.220364925146,22.2004954377028,13.7858039758433,34.0019038885809
"soil","5181","Realized",46,7,"rsp_soil",TRUE,108.793675125537,49769.8313267925,16582.4268853299,92092.4124592057
"soil","5264","Potential",1475,7,"rsp_soil",TRUE,977.262104414964,492.647747283334,407.32458984842,567.011511583563
"soil","5264","Realized",289,7,"rsp_soil",TRUE,372.9793924072,1786.84767304785,966.548680795014,3053.52248547818
"soil","5268","Potential",348,7,"rsp_soil",TRUE,427.58818048792,94.2989628418571,73.0809496243988,119.208810073073
"soil","5268","Realized",119,7,"rsp_soil",TRUE,284.796312604151,3750.76291454836,1683.1715051407,7829.82934542033
"soil","5270","Potential",182,7,"rsp_soil",TRUE,170.740654482873,14.7337699092469,6.85513799537119,26.6580173669592
"soil","5270","Realized",51,7,"rsp_soil",TRUE,144.871049238515,107.824264428322,53.8046348287402,181.196895696201
"soil","5277","Potential",108,7,"rsp_soil",TRUE,347.780998764754,172.022260856165,82.3114038164906,292.410191024621
"soil","5277","Realized",44,7,"rsp_soil",TRUE,236.626348714024,362.712428185058,47.1151567772395,1107.36569036009
"soil","5278","Potential",419,7,"rsp_soil",TRUE,513.297142024145,74.5404958185313,56.5746347812828,95.9373657873945
"soil","5278","Realized",100,7,"rsp_soil",TRUE,268.200322862192,91.91282041517,40.6116008985177,149.146540521528
"soil","5282","Potential",145,7,"rsp_soil",TRUE,277.407123184312,35.4805951517888,24.2940764544592,57.8056224565151
"soil","5282","Realized",38,7,"rsp_soil",TRUE,128.232853705995,12.429966352576,3.11748105176777,26.7535181214977
"soil","5284","Potential",34,7,"rsp_soil",TRUE,NA,NA,NA,NA
"soil","5284","Realized",18,7,"rsp_soil",TRUE,NA,NA,NA,NA
"soil","5285","Potential",938,7,"rsp_soil",TRUE,463.254133105552,37.2612620281694,27.4836805454948,47.5525669391642
"soil","5285","Realized",183,7,"rsp_soil",TRUE,138.400748766563,102.288072642077,68.2955134030923,137.530704278505
"soil","5301","Potential",5822,7,"rsp_soil",TRUE,1024.01065374451,341.922475442871,261.770866780054,380.821204919294
"soil","5301","Realized",1119,7,"rsp_soil",TRUE,579.450117305059,619.852413568619,503.54871506644,760.610102880776
"soil","5303","Potential",1493,7,"rsp_soil",TRUE,695.268573220709,28726.1702002056,24150.1456793626,33411.8477937571
"soil","5303","Realized",356,7,"rsp_soil",TRUE,445.372215204697,15782.7668602869,8166.08108912748,24778.1573801826
"soil","5308","Potential",157,7,"rsp_soil",TRUE,269.525197256886,21.1400891448212,11.0999733465348,37.8451730404526
"soil","5308","Realized",29,7,"rsp_soil",TRUE,NA,NA,NA,NA
"soil","5439","Potential",747,7,"rsp_soil",TRUE,346.243354973219,27.9570209406043,20.2075193741758,38.9857848768189
"soil","5439","Realized",198,7,"rsp_soil",TRUE,319.421531011813,140.289741274001,70.1331404143765,272.645743963226
